# x,y,z,vel.x,vel.y,vel.z
5.9618034,-3.4801142,-0.412453,-0.009605683,0.0056071747,-0.030558174
-3.351993,2.1372287,1.6800624,-0.04635449,0.029555606,0.074257135
-5.3814063,4.373197,-0.32223794,0.0066639134,-0.0054154266,-0.030956738
-2.8068366,-6.0203986,-0.09384786,0.0013503241,0.0028963175,-0.032663025
-0.80078787,-4.985244,0.5595982,-0.0059303707,-0.036919072,0.036655262
1.8813504,-3.1149247,0.34223598,0.008988335,-0.014881859,0.12140075
-6.441042,-0.3503705,0.92194456,-0.030135041,-0.0016392423,-0.023715865
3.2375195,1.445484,0.44738293,0.019356022,0.008642051,0.12136472
-5.8004465,1.1110939,-1.630256,0.048846148,-0.009356641,-0.0019383337
-0.58664817,-6.0370593,0.037897058,-0.00018466201,-0.0019003128,-0.024389286
-2.6821024,5.84623,1.2626206,-0.015026484,0.03275351,-0.017998347
0.76952964,4.8593035,-0.11248956,-0.0012844664,-0.0081110075,0.048381407
0.49985635,-3.523866,-0.041996084,-0.00029462297,0.0020770202,0.12520835
0.83586496,6.3354216,0.30798802,0.0016148926,0.012240045,-0.030138727
-4.5209966,5.0167217,0.42966926,-0.008686826,0.009639331,-0.030932548
-0.4523609,6.8054953,-0.40089974,0.00076617685,-0.011526665,-0.030991366
-2.9850726,2.8940854,-0.023597265,0.0011090545,-0.0010752495,0.10456416
-3.893838,2.7459219,0.680908,-0.036160972,0.025500601,0.057525635
-6.3823743,-2.398282,0.817132,-0.020032227,-0.0075274403,-0.026735721
-5.992194,-3.1759877,-0.7842283,0.018828223,0.00997935,-0.027183022
5.4187427,3.4181852,-1.3051326,-0.031327583,-0.019761689,-0.016986042
1.926285,3.2339597,1.1900005,0.02459355,0.04128908,0.09633777
3.5025928,-1.9967077,-0.9570146,-0.041738838,0.023793878,0.09504822
6.777907,1.0093399,-0.00755273,-0.00021665907,-3.2264048e-05,-0.03233706
4.157909,2.535801,1.822326,0.05261049,0.032085773,0.037318964
5.461064,2.3721175,-1.5637014,-0.044696126,-0.019414611,-0.0040984186
37.36195,33.717793,24.126371,3.1456053e-05,2.8387925e-05,-1.5633557e-05
-25.978546,5.0893545,-48.638397,4.4914177e-05,-8.7989265e-06,4.8265407e-05
25.535227,47.507153,-15.1024275,-1.32736e-05,-2.469495e-05,-2.789965e-05
24.257631,19.721844,27.180376,0.00010122251,8.229552e-05,2.7250124e-05
